taille;desordre;typeDesordre;algo;acces;comparaisons;echanges;temps
100000;0;1;MergeSort;3337856;853904;0;3963615
100000;0;1;MergeSort;3337856;853904;0;3574505
100000;0;1;MergeSort;3337856;853904;0;4590246
100000;0;1;MergeSort;3337856;853904;0;4059675
100000;0;1;MergeSort;3337856;853904;0;4432246
100000;0;1;MergeSort;3337856;853904;0;3291124
100000;0;1;MergeSort;3337856;853904;0;4269425
100000;0;1;MergeSort;3337856;853904;0;3627165
100000;0;1;MergeSort;3337856;853904;0;3195784
100000;0;1;MergeSort;3337856;853904;0;3618175
100000;0;1;MergeSort;3337856;853904;0;2945814
100000;0;1;MergeSort;3337856;853904;0;3149545
100000;0;1;MergeSort;3337856;853904;0;2930644
100000;0;1;MergeSort;3337856;853904;0;3709895
100000;0;1;MergeSort;3337856;853904;0;2955394
100000;0;1;MergeSort;3337856;853904;0;3725505
100000;0;1;MergeSort;3337856;853904;0;3648894
100000;0;1;MergeSort;3337856;853904;0;2980204
100000;0;1;MergeSort;3337856;853904;0;2951874
100000;0;1;MergeSort;3337856;853904;0;3846725
100000;0;1;MergeSort;3337856;853904;0;3103154
100000;0;1;MergeSort;3337856;853904;0;3663485
100000;0;1;MergeSort;3337856;853904;0;3859094
100000;0;1;MergeSort;3337856;853904;0;3639915
100000;0;1;MergeSort;3337856;853904;0;3586425
100000;0;1;MergeSort;3337856;853904;0;3536394
100000;0;1;MergeSort;3337856;853904;0;3713495
100000;0;1;MergeSort;3337856;853904;0;3032434
100000;0;1;MergeSort;3337856;853904;0;3368234
100000;0;1;MergeSort;3337856;853904;0;3547485
100000;0;1;MergeSort;3337856;853904;0;3767145
100000;0;1;MergeSort;3337856;853904;0;3474004
100000;0;1;MergeSort;3337856;853904;0;3646895
100000;0;1;MergeSort;3337856;853904;0;3509585
100000;0;1;MergeSort;3337856;853904;0;2974554
100000;0;1;MergeSort;3337856;853904;0;3660215
100000;0;1;MergeSort;3337856;853904;0;3369044
100000;0;1;MergeSort;3337856;853904;0;3167264
100000;0;1;MergeSort;3337856;853904;0;3502675
100000;0;1;MergeSort;3337856;853904;0;3685505
100000;0;1;MergeSort;3337856;853904;0;3912165
100000;0;1;MergeSort;3337856;853904;0;2923924
100000;0;1;MergeSort;3337856;853904;0;3811095
100000;0;1;MergeSort;3337856;853904;0;3617915
100000;0;1;MergeSort;3337856;853904;0;2918634
100000;0;1;MergeSort;3337856;853904;0;3658674
100000;0;1;MergeSort;3337856;853904;0;3538035
100000;0;1;MergeSort;3337856;853904;0;3511594
100000;0;1;MergeSort;3337856;853904;0;3463465
100000;0;1;MergeSort;3337856;853904;0;4364596
100000;0;1;MergeSort;3337856;853904;0;3035314
100000;0;1;MergeSort;3337856;853904;0;2981614
100000;0;1;MergeSort;3337856;853904;0;2904394
100000;0;1;MergeSort;3337856;853904;0;3676705
100000;0;1;MergeSort;3337856;853904;0;2909144
100000;0;1;MergeSort;3337856;853904;0;3465534
100000;0;2;MergeSort;3337856;853904;0;17810453
100000;0;2;MergeSort;3337856;853904;0;11129115
100000;0;2;MergeSort;3337856;853904;0;4451926
100000;0;2;MergeSort;3337856;853904;0;6880330
100000;0;2;MergeSort;3337856;853904;0;7028829
100000;0;2;MergeSort;3337856;853904;0;6855789
100000;0;2;MergeSort;3337856;853904;0;8139201
100000;0;2;MergeSort;3337856;853904;0;7526860
100000;0;2;MergeSort;3337856;853904;0;6522678
100000;0;2;MergeSort;3337856;853904;0;5691777
100000;0;2;MergeSort;3337856;853904;0;3003304
100000;0;2;MergeSort;3337856;853904;0;3502355
100000;0;2;MergeSort;3337856;853904;0;3220874
100000;0;2;MergeSort;3337856;853904;0;3601084
100000;0;2;MergeSort;3337856;853904;0;3430525
100000;0;2;MergeSort;3337856;853904;0;3928225
100000;0;2;MergeSort;3337856;853904;0;3878225
100000;0;2;MergeSort;3337856;853904;0;7042589
100000;0;2;MergeSort;3337856;853904;0;7444680
100000;0;2;MergeSort;3337856;853904;0;6815739
100000;0;2;MergeSort;3337856;853904;0;7129679
100000;0;2;MergeSort;3337856;853904;0;6662678
100000;0;2;MergeSort;3337856;853904;0;6656399
100000;0;2;MergeSort;3337856;853904;0;6738729
100000;0;2;MergeSort;3337856;853904;0;6449238
100000;0;2;MergeSort;3337856;853904;0;7116019
100000;0;2;MergeSort;3337856;853904;0;8109300
100000;0;2;MergeSort;3337856;853904;0;7522390
100000;0;2;MergeSort;3337856;853904;0;7347200
100000;0;2;MergeSort;3337856;853904;0;6445938
100000;0;2;MergeSort;3337856;853904;0;7062689
100000;0;2;MergeSort;3337856;853904;0;3665065
100000;0;2;MergeSort;3337856;853904;0;3043804
100000;0;2;MergeSort;3337856;853904;0;3761155
100000;0;2;MergeSort;3337856;853904;0;3421365
100000;0;2;MergeSort;3337856;853904;0;3157444
100000;0;2;MergeSort;3337856;853904;0;3723675
100000;0;2;MergeSort;3337856;853904;0;3979035
100000;0;2;MergeSort;3337856;853904;0;3711975
100000;0;2;MergeSort;3337856;853904;0;3339384
