taille;desordre;typeDesordre;algo;acces;comparaisons;echanges;temps
100000;0;1;QuickSort;6180341;2872019;1036071;4849186
100000;0;1;QuickSort;6681669;3014889;1155577;6829358
100000;0;1;QuickSort;6512937;2962449;1116801;4539726
100000;0;1;QuickSort;6982016;3099680;1227517;4942686
100000;0;1;QuickSort;6566698;2979667;1129026;7090089
100000;0;1;QuickSort;6368078;2883161;1095051;5751138
100000;0;1;QuickSort;6353031;2877363;1091888;4667596
100000;0;1;QuickSort;6583158;2975796;1135752;7303779
100000;0;1;QuickSort;7394028;3288285;1301921;5092417
100000;0;1;QuickSort;6614471;2958338;1152092;4090646
100000;0;1;QuickSort;6369571;2902855;1088897;6718149
100000;0;1;QuickSort;6988462;3175264;1204354;4980386
100000;0;2;QuickSort;6794185;3041917;1184092;25481544
100000;0;2;QuickSort;7107083;3246932;1220020;12417826
100000;0;2;QuickSort;6963054;3132789;1210102;5695187
100000;0;2;QuickSort;7061219;3216344;1215046;6659739
100000;0;2;QuickSort;6576442;2992564;1128042;5186616
100000;0;2;QuickSort;7148664;3247278;1233796;4397326
100000;0;2;QuickSort;6288043;2914114;1058017;3893445
100000;0;2;QuickSort;7078317;3233829;1214846;4721186
100000;0;2;QuickSort;6492379;2971561;1106914;4592185
100000;0;2;QuickSort;6942386;3129182;1204518;6300488
100000;0;2;QuickSort;6703060;3065140;1145930;5124707
100000;0;2;QuickSort;7000067;3119141;1227019;5138177
100000;0;2;QuickSort;6528270;2992332;1111990;4699726
100000;0;2;QuickSort;6675829;2999185;1158966;4572736
100000;0;2;QuickSort;6530294;2955467;1124951;5002317
100000;0;2;QuickSort;6272693;2861102;1070459;4851036
100000;0;2;QuickSort;6958851;3141969;1205564;4237256
100000;0;2;QuickSort;6742733;3138167;1134801;4359136
100000;0;2;QuickSort;6617239;3006112;1136925;5160116
100000;0;2;QuickSort;6334332;2896263;1079402;4861047
100000;0;2;QuickSort;6477799;2909176;1122957;4876507
100000;0;2;QuickSort;7072473;3118749;1251327;5068926
100000;0;2;QuickSort;6533546;2974799;1119660;4268326
100000;0;2;QuickSort;6660203;3011156;1149735;4604326
100000;0;2;QuickSort;6450076;2950930;1099680;4632867
100000;0;2;QuickSort;7269798;3232035;1279222;4791146
100000;0;2;QuickSort;6792255;3081681;1170225;4872956
100000;0;2;QuickSort;6269654;2873612;1065437;4766587
100000;0;2;QuickSort;6719380;3055864;1154485;5002077
100000;0;2;QuickSort;6225208;2824753;1066814;4760846
100000;0;2;QuickSort;6466356;2931849;1111495;5602697
100000;0;2;QuickSort;6430723;2953387;1092459;4948796
100000;0;2;QuickSort;6475276;2966128;1103090;4813386
100000;0;2;QuickSort;6980983;3161821;1206463;4050045
100000;0;2;QuickSort;6651369;3031368;1139945;4379376
100000;0;2;QuickSort;7010445;3104184;1235450;4705006
100000;0;2;QuickSort;6768457;3050353;1172692;4091165
100000;0;2;QuickSort;6741243;3083922;1152466;4496906
100000;0;2;QuickSort;6456616;2949595;1102473;4896047
100000;0;2;QuickSort;6328938;2946315;1060860;4134775
100000;0;2;QuickSort;6485194;2971798;1104450;4199575
100000;0;2;QuickSort;6688978;3043750;1148310;5055406
100000;0;2;QuickSort;6287144;2882789;1068106;4862366
100000;0;2;QuickSort;6884423;3084170;1200127;4368976
100000;0;2;QuickSort;6525053;3018017;1102349;3999835
100000;0;2;QuickSort;6466238;2929721;1112189;4015325
100000;0;2;QuickSort;6878830;3109174;1190032;5049806
100000;0;2;QuickSort;6264842;2919278;1048547;4902317
100000;0;2;QuickSort;6525684;3064983;1086921;5038447
100000;0;2;QuickSort;6658295;3008234;1150093;4568766
100000;0;2;QuickSort;6961245;3110286;1217052;4978497
100000;0;2;QuickSort;6769644;3015795;1184616;4597405
100000;0;2;QuickSort;6347385;2842449;1101623;4323695
100000;0;2;QuickSort;6184031;2845655;1046155;4896446
100000;0;2;QuickSort;6201681;2873871;1042589;3862525
100000;0;2;QuickSort;6220311;2913687;1035546;4915896
100000;0;2;QuickSort;6775351;3036376;1179684;5089597
100000;0;2;QuickSort;6661682;3002687;1152954;4949696
100000;0;2;QuickSort;6634445;2965694;1156248;4926786
100000;0;2;QuickSort;6520684;2972314;1116084;4593276
100000;0;2;QuickSort;6887923;3090403;1199249;4227936
100000;0;2;QuickSort;6466222;2988598;1092668;4267035
100000;0;2;QuickSort;6549686;2999969;1116513;4974326
100000;0;2;QuickSort;6303805;2935111;1056267;4852226
100000;0;2;QuickSort;6330214;2868367;1087261;4233476
100000;0;2;QuickSort;6794355;3054249;1180117;4975407
100000;0;2;QuickSort;7083074;3191039;1230706;5095896
100000;0;2;QuickSort;6319880;2941130;1059608;4575786
100000;0;2;QuickSort;6443388;2940666;1100922;6947099
100000;0;2;QuickSort;6461438;2981261;1093435;6375669
100000;0;2;QuickSort;6543591;2989860;1117947;6779459
100000;0;2;QuickSort;6881303;3078452;1200989;6756869
100000;0;2;QuickSort;6237671;2882504;1051724;6295308
100000;0;2;QuickSort;6530029;2945869;1128011;4872607
100000;0;2;QuickSort;6532957;3014506;1106082;5164666
100000;0;2;QuickSort;6600076;2990767;1136447;4750056
100000;0;2;QuickSort;6856123;3118720;1179221;5244717
100000;0;2;QuickSort;6754403;2982614;1190597;4609286
100000;0;2;QuickSort;6415839;2942028;1091318;4962547
100000;0;2;QuickSort;6710413;3054955;1151713;5125946
100000;0;2;QuickSort;6674228;3030017;1147951;4951906
100000;0;2;QuickSort;6197603;2865098;1044202;4267186
100000;0;2;QuickSort;6287377;2865955;1073780;4708976
100000;0;2;QuickSort;6740572;2993374;1182445;4585436
100000;0;2;QuickSort;6587881;2990383;1132516;4678406
100000;0;2;QuickSort;6424611;2913945;1103493;4623576
100000;0;2;QuickSort;6279563;2845091;1078204;4465136
100000;0;2;QuickSort;6061707;2770215;1030489;4444575
100000;0;2;QuickSort;6412387;2944525;1089224;4477476
100000;0;2;QuickSort;6967586;3160649;1202227;5242936
100000;0;2;QuickSort;6414610;2920957;1097909;4042465
100000;0;2;QuickSort;7243213;3230212;1271158;5205627
100000;0;2;QuickSort;6792343;3037087;1185110;5629198
100000;0;2;QuickSort;6407704;2960335;1082529;5926948
100000;0;2;QuickSort;6627186;2961912;1155061;4017985
100000;0;2;QuickSort;6257105;2868512;1062935;4559836
100000;0;2;QuickSort;6795979;3069064;1175714;5043897
100000;0;2;QuickSort;6470413;3063127;1069137;5013036
100000;0;2;QuickSort;6443470;3000868;1080831;4426986
100000;0;2;QuickSort;6673348;3116170;1118964;4628876
100000;0;3;QuickSort;6274132;2887240;1062393;22202389
100000;0;3;QuickSort;6451076;3027146;1074589;14904790
100000;0;3;QuickSort;6667370;2992583;1158183;6545479
100000;0;3;QuickSort;6496672;3006991;1096619;4316436
100000;0;3;QuickSort;6753055;3031795;1173755;4228145
100000;0;3;QuickSort;6583573;3018091;1121798;4437076
100000;0;3;QuickSort;6633917;3021473;1137569;4210036
100000;0;3;QuickSort;6996422;3176765;1206441;5249037
100000;0;3;QuickSort;7062623;3190961;1223930;5456717
100000;0;3;QuickSort;6561680;2948870;1137638;5615317
100000;0;3;QuickSort;6760641;3070914;1163263;5112146
100000;0;3;QuickSort;6263140;2898340;1055067;5191217
100000;0;3;QuickSort;6796766;3072566;1174764;5164607
100000;0;3;QuickSort;6901083;3104004;1199127;4767276
100000;0;3;QuickSort;6810323;3124907;1161859;4369666
100000;0;3;QuickSort;6541731;3003486;1112733;4240055
100000;0;3;QuickSort;6736383;3086481;1149929;4587596
100000;0;3;QuickSort;6559263;2994969;1121342;5078937
100000;0;3;QuickSort;6868043;3078899;1196277;5146986
100000;0;3;QuickSort;6474184;2927476;1115612;5055626
100000;0;3;QuickSort;6704902;3046012;1152974;5107197
100000;0;3;QuickSort;6234920;2911628;1041031;5047116
100000;0;3;QuickSort;6800235;3055674;1181716;4743816
100000;0;3;QuickSort;6684167;3069773;1138114;5199206
100000;0;3;QuickSort;6714449;3048362;1155254;4953886
100000;0;3;QuickSort;6490066;2928217;1120549;4656486
100000;0;3;QuickSort;6830304;3084531;1181997;5189207
100000;0;3;QuickSort;6437332;2963719;1091237;5002686
100000;0;3;QuickSort;6946289;3137267;1202986;4776646
100000;0;3;QuickSort;6281083;2947567;1044463;4685886
100000;0;3;QuickSort;6340169;2882414;1085955;7018749
100000;0;3;QuickSort;6891994;3073801;1206088;5533007
100000;0;3;QuickSort;6936967;3133543;1201168;4692146
100000;0;3;QuickSort;6522237;2945811;1125402;4407876
100000;0;3;QuickSort;6541244;2933798;1135849;4543525
100000;0;3;QuickSort;6279677;2902724;1059140;4725756
100000;0;3;QuickSort;6612399;2969256;1147589;4084355
100000;0;3;QuickSort;6643712;3058706;1128433;4076906
100000;0;3;QuickSort;6553339;2971939;1127078;4000566
100000;0;3;QuickSort;6839375;3041909;1199139;5104807
100000;0;3;QuickSort;6746228;3095735;1150096;4529836
100000;0;3;QuickSort;6527819;2990465;1112470;4187815
100000;0;3;QuickSort;6638304;2968722;1156396;4013575
100000;0;3;QuickSort;7068174;3169170;1233041;4195296
100000;0;3;QuickSort;6470253;2951943;1106006;5043447
100000;0;3;QuickSort;6805536;3180384;1141817;4729406
100000;0;3;QuickSort;6686719;2996650;1163437;5099606
100000;0;3;QuickSort;6514530;2978826;1111851;4602056
100000;0;3;QuickSort;6904861;3145657;1186449;4196425
100000;0;3;QuickSort;7605855;3350979;1351636;5484327
100000;0;3;QuickSort;6963003;3079944;1227736;5209107
100000;0;3;QuickSort;6268265;2870825;1065740;4538797
100000;0;3;QuickSort;6613070;2982032;1143655;4434396
100000;0;3;QuickSort;6420251;2947355;1090933;5111606
100000;0;3;QuickSort;6884580;3055809;1209658;5214697
