taille;desordre;typeDesordre;algo;acces;comparaisons;echanges;temps
100;0;3;InsertionSort;297;99;0;8200
100;0;3;InsertionSort;297;99;0;7850
100;0;3;InsertionSort;297;99;0;10480
100;0;3;InsertionSort;297;99;0;17850
100;0;3;InsertionSort;297;99;0;9500
100;0;3;InsertionSort;297;99;0;9860
100;0;3;InsertionSort;297;99;0;8260
100;0;3;InsertionSort;297;99;0;7960
100;0;3;InsertionSort;297;99;0;12781
100;0;3;InsertionSort;297;99;0;9360
100;0;3;InsertionSort;297;99;0;7850
100;0;3;InsertionSort;297;99;0;13120
100;0;3;InsertionSort;297;99;0;9780
100;0;3;InsertionSort;297;99;0;7670
100;0;3;InsertionSort;297;99;0;10660
100;0;3;InsertionSort;297;99;0;10640
100;0;3;InsertionSort;297;99;0;9520
100;0;3;InsertionSort;297;99;0;12980
100;0;3;InsertionSort;297;99;0;12860
100;0;3;InsertionSort;297;99;0;16930
100;0;3;InsertionSort;297;99;0;8850
100;0;3;InsertionSort;297;99;0;8690
100;0;3;InsertionSort;297;99;0;7690
100;0;3;InsertionSort;297;99;0;8100
100;0;3;InsertionSort;297;99;0;12960
100;0;3;InsertionSort;297;99;0;13350
100;0;3;InsertionSort;297;99;0;11490
100;0;3;InsertionSort;297;99;0;12721
100;0;3;InsertionSort;297;99;0;10310
100;0;3;InsertionSort;297;99;0;9450
100;0;3;InsertionSort;297;99;0;7680
100;0;3;InsertionSort;297;99;0;9390
100;0;3;InsertionSort;297;99;0;8830
100;0;3;InsertionSort;297;99;0;8050
100;0;3;InsertionSort;297;99;0;10150
100;0;3;InsertionSort;297;99;0;7620
100;0;3;InsertionSort;297;99;0;9460
100;0;3;InsertionSort;297;99;0;12550
100;0;3;InsertionSort;297;99;0;11890
100;0;3;InsertionSort;297;99;0;9620
100;0;3;InsertionSort;297;99;0;11330
100;0;3;InsertionSort;297;99;0;7500
100;0;3;InsertionSort;297;99;0;7710
100;0;3;InsertionSort;297;99;0;9030
100;0;3;InsertionSort;297;99;0;7430
100;0;3;InsertionSort;297;99;0;7940
100;0;3;InsertionSort;297;99;0;7820
100;0;3;InsertionSort;297;99;0;7500
100;0;3;InsertionSort;297;99;0;9380
100;0;3;InsertionSort;297;99;0;9040
100;0;3;InsertionSort;297;99;0;10840
100;0;3;InsertionSort;297;99;0;9050
100;0;3;InsertionSort;297;99;0;13720
100;0;3;InsertionSort;297;99;0;9990
100;0;3;InsertionSort;297;99;0;10940
100;0;3;InsertionSort;297;99;0;10100
100;0;3;InsertionSort;297;99;0;9050
100;0;3;InsertionSort;297;99;0;10240
100;0;3;InsertionSort;297;99;0;8900
100;0;3;InsertionSort;297;99;0;7740
100;0;3;InsertionSort;297;99;0;9480
100;0;3;InsertionSort;297;99;0;7820
100;0;3;InsertionSort;297;99;0;8660
100;0;3;InsertionSort;297;99;0;10260
100;0;3;InsertionSort;297;99;0;10570
100;0;3;InsertionSort;297;99;0;7870
100;0;3;InsertionSort;297;99;0;7970
100;0;3;InsertionSort;297;99;0;7460
100;0;3;InsertionSort;297;99;0;8930
100;0;3;InsertionSort;297;99;0;7710
100;0;3;InsertionSort;297;99;0;7700
100;0;3;InsertionSort;297;99;0;16270
100;0;3;InsertionSort;297;99;0;11370
100;0;3;InsertionSort;297;99;0;10450
100;0;3;InsertionSort;297;99;0;7850
100;0;3;InsertionSort;297;99;0;7600
100;0;3;InsertionSort;297;99;0;7560
100;0;3;InsertionSort;297;99;0;7340
100;0;4;InsertionSort;297;99;0;29880
100;0;4;InsertionSort;297;99;0;12030
100;0;4;InsertionSort;297;99;0;15210
100;0;4;InsertionSort;297;99;0;14200
100;0;4;InsertionSort;297;99;0;8360
100;0;4;InsertionSort;297;99;0;7750
100;0;4;InsertionSort;297;99;0;13501
100;0;4;InsertionSort;297;99;0;15120
100;0;4;InsertionSort;297;99;0;13640
100;0;4;InsertionSort;297;99;0;8470
100;0;4;InsertionSort;297;99;0;14260
100;0;4;InsertionSort;297;99;0;10520
100;0;4;InsertionSort;297;99;0;17150
100;0;4;InsertionSort;297;99;0;9430
100;0;4;InsertionSort;297;99;0;8430
100;0;4;InsertionSort;297;99;0;7630
100;0;4;InsertionSort;297;99;0;10850
100;0;4;InsertionSort;297;99;0;12910
100;0;4;InsertionSort;297;99;0;9540
100;0;4;InsertionSort;297;99;0;9810
100;0;4;InsertionSort;297;99;0;14850
100;0;4;InsertionSort;297;99;0;12850
100;0;4;InsertionSort;297;99;0;7640
100;0;4;InsertionSort;297;99;0;10870
100;0;4;InsertionSort;297;99;0;10250
100;0;4;InsertionSort;297;99;0;10781
100;0;4;InsertionSort;297;99;0;9380
100;0;4;InsertionSort;297;99;0;8760
100;0;4;InsertionSort;297;99;0;13040
100;0;4;InsertionSort;297;99;0;9541
100;0;4;InsertionSort;297;99;0;9750
100;0;4;InsertionSort;297;99;0;11200
100;0;4;InsertionSort;297;99;0;9350
100;0;4;InsertionSort;297;99;0;9450
100;0;4;InsertionSort;297;99;0;9230
100;0;4;InsertionSort;297;99;0;9370
100;0;4;InsertionSort;297;99;0;9200
100;0;4;InsertionSort;297;99;0;8970
100;0;4;InsertionSort;297;99;0;8770
100;0;4;InsertionSort;297;99;0;8740
100;0;4;InsertionSort;297;99;0;12880
100;0;4;InsertionSort;297;99;0;11370
100;0;4;InsertionSort;297;99;0;9470
100;0;4;InsertionSort;297;99;0;9590
100;0;4;InsertionSort;297;99;0;10040
100;0;4;InsertionSort;297;99;0;10190
100;0;4;InsertionSort;297;99;0;12700
100;0;4;InsertionSort;297;99;0;9280
100;0;4;InsertionSort;297;99;0;12640
100;0;4;InsertionSort;297;99;0;12740
100;0;4;InsertionSort;297;99;0;11310
100;0;4;InsertionSort;297;99;0;10400
100;0;4;InsertionSort;297;99;0;10510
100;0;4;InsertionSort;297;99;0;11550
100;0;4;InsertionSort;297;99;0;13030
100;0;4;InsertionSort;297;99;0;10230
100;0;4;InsertionSort;297;99;0;10451
100;0;4;InsertionSort;297;99;0;9760
100;0;4;InsertionSort;297;99;0;10630
100;0;4;InsertionSort;297;99;0;11350
100;0;4;InsertionSort;297;99;0;8050
100;0;4;InsertionSort;297;99;0;10010
100;0;4;InsertionSort;297;99;0;9180
100;0;4;InsertionSort;297;99;0;11500
100;0;4;InsertionSort;297;99;0;10380
100;0;4;InsertionSort;297;99;0;11620
100;0;4;InsertionSort;297;99;0;9080
100;0;4;InsertionSort;297;99;0;10520
100;0;4;InsertionSort;297;99;0;10170
100;0;4;InsertionSort;297;99;0;7790
100;0;4;InsertionSort;297;99;0;10020
100;0;4;InsertionSort;297;99;0;10190
100;0;4;InsertionSort;297;99;0;9160
100;0;4;InsertionSort;297;99;0;10240
100;0;4;InsertionSort;297;99;0;11340
100;0;4;InsertionSort;297;99;0;10500
100;0;4;InsertionSort;297;99;0;10150
100;0;4;InsertionSort;297;99;0;10350
100;0;4;InsertionSort;297;99;0;10330
100;0;4;InsertionSort;297;99;0;7950
100;0;4;InsertionSort;297;99;0;9250
100;0;4;InsertionSort;297;99;0;10490
100;0;4;InsertionSort;297;99;0;12150
100;0;4;InsertionSort;297;99;0;7970
100;0;4;InsertionSort;297;99;0;8210
100;0;4;InsertionSort;297;99;0;7810
100;0;4;InsertionSort;297;99;0;8090
100;0;4;InsertionSort;297;99;0;10200
100;0;4;InsertionSort;297;99;0;10660
100;0;4;InsertionSort;297;99;0;10720
100;0;4;InsertionSort;297;99;0;7300
100;0;4;InsertionSort;297;99;0;10450
100;0;4;InsertionSort;297;99;0;10520
100;0;4;InsertionSort;297;99;0;9380
100;0;4;InsertionSort;297;99;0;7960
100;0;4;InsertionSort;297;99;0;8150
100;0;4;InsertionSort;297;99;0;9330
100;0;4;InsertionSort;297;99;0;7540
100;0;4;InsertionSort;297;99;0;9690
100;0;4;InsertionSort;297;99;0;7960
100;10;1;InsertionSort;1929;643;0;125640
100;10;1;InsertionSort;1380;460;0;60870
100;10;1;InsertionSort;1704;568;0;71141
100;10;1;InsertionSort;1176;392;0;52780
100;10;1;InsertionSort;1311;437;0;46711
100;10;1;InsertionSort;1131;377;0;27460
100;10;1;InsertionSort;1188;396;0;28180
100;10;1;InsertionSort;1071;357;0;24720
100;10;1;InsertionSort;970;322;0;21450
100;10;1;InsertionSort;1476;492;0;46770
100;10;1;InsertionSort;1251;417;0;35770
100;10;1;InsertionSort;774;258;0;25840
100;10;1;InsertionSort;993;331;0;22680
100;10;1;InsertionSort;957;319;0;27550
100;10;1;InsertionSort;1134;378;0;28850
100;10;1;InsertionSort;1182;394;0;33620
100;10;1;InsertionSort;1614;538;0;47930
100;10;1;InsertionSort;1221;407;0;43370
100;10;1;InsertionSort;1168;388;0;32980
100;10;1;InsertionSort;1209;403;0;29960
100;10;1;InsertionSort;1473;491;0;40320
100;10;1;InsertionSort;1575;525;0;40140
